"filename", "language", "JavaScript", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package-lock.json", "JSON", 0, 0, 10, 0, 0, 10
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.js", "JavaScript", 0, 0, 0, 13, 0, 13
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardLayout\index.js", "JavaScript", 0, 0, 0, 7, 0, 7
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardLayout\index.scss", "SCSS", 0, 0, 0, 3, 0, 3
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardStatistic\index.js", "JavaScript", 0, 0, 0, 5, -1, 4
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardStatistic\index.scss", "SCSS", 0, -1, 0, 22, -4, 17
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\index.js", "JavaScript", 0, 0, 0, 7, 0, 7
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\sideBarComp\index.js", "JavaScript", 0, 0, 0, 6, 0, 6
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\sideBarComp\index.scss", "SCSS", 0, 0, 0, 10, 0, 10
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\EmbededForm\index.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\EmbededForm\index.scss", "SCSS", 0, 9, 0, 0, 1, 10
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Footer\index.js", "JavaScript", 20, 0, 0, 7, 3, 30
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Footer\index.scss", "SCSS", 0, 53, 0, 14, 11, 78
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\HomeCard\index.js", "JavaScript", 0, 0, 0, 6, 0, 6
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\HomeCard\index.scss", "SCSS", 0, -1, 0, 17, -8, 8
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.js", "JavaScript", -4, 0, 0, 0, 0, -4
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Home\index.scss", "SCSS", 0, 0, 0, 24, -8, 16
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.js", "JavaScript", -47, 0, 0, 19, 5, -23
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\AddPostBar\index.scss", "SCSS", 0, 9, 0, 15, 2, 26
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.js", "JavaScript", -11, 0, 0, 7, -5, -9
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\JobPost\index.scss", "SCSS", 0, 0, 0, 13, 0, 13
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.js", "JavaScript", -27, 0, 0, 22, 1, -4
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Interior\index.scss", "SCSS", 0, 0, 0, 25, 0, 25
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Layout\index.js", "JavaScript", -1, 0, 0, 6, 1, 6
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\Layout\index.scss", "SCSS", 0, 0, 0, 2, -1, 1
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.js", "JavaScript", 0, 0, 0, 7, 2, 9
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenuInterior\index.scss", "SCSS", 0, 0, 0, 3, 0, 3
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenubarLanding\index.js", "JavaScript", 0, 0, 0, 6, 1, 7
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\MenubarLanding\index.scss", "SCSS", 0, 0, 0, 4, 0, 4
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignIn\index.js", "JavaScript", 0, 0, 0, 9, 1, 10
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignIn\index.scss", "SCSS", 0, 0, 0, 9, -2, 7
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignUp\index.js", "JavaScript", 18, 0, 0, 27, 4, 49
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\SignUp\index.scss", "SCSS", 0, -2, 0, 15, 0, 13
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\index.js", "JavaScript", -3, 0, 0, 9, -3, 3
"Total", "-", -43, 67, 11, 339, 2, 376
