"filename", "language", "JSON", "JavaScript", "SCSS", "Markdown", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\.prettierrc", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 8, 18
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package-lock.json", "JSON", 19060, 0, 0, 0, 0, 0, 0, 0, 1, 19061
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 0, 1, 74
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\public\index.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 14, 5, 53
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.scss", "SCSS", 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\AchieveComp\index.js", "JavaScript", 0, 205, 0, 0, 0, 0, 0, 4, 27, 236
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\AchieveComp\index.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\HistoryComp\index.js", "JavaScript", 0, 231, 0, 0, 0, 0, 0, 4, 25, 260
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\HistoryComp\index.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 1, 7, 31
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\ProjectComp\index.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 14, 21, 186
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\ProjectComp\index.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\SkillComp\index.js", "JavaScript", 0, 195, 0, 0, 0, 0, 0, 4, 25, 224
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\SkillComp\index.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\index.js", "JavaScript", 0, 401, 0, 0, 0, 0, 0, 2, 41, 444
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\AccountPage\index.scss", "SCSS", 0, 0, 319, 0, 0, 0, 0, 0, 60, 379
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardContact\index.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 2, 76
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardContact\index.scss", "SCSS", 0, 0, 121, 0, 0, 0, 0, 0, 24, 145
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardFAQ\index.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\src\components\ContactDashBoard\DashBoardFAQ\index.scss", "SCSS", 0, 0, 78, 0, 0, 0, 0, 0, 17, 95
